id,cluster,observacio,name,elegir,geometry
36,149,NA,5,derecha,"c(-90.1251640943869, 14.5891528460705)"
53,149,NA,6,derecha,"c(-90.1263620002142, 14.5903728485632)"
58,149,NA,7,derecha,"c(-90.1265160166777, 14.5908475988368)"
59,149,NA,8,izquierda,"c(-90.1263905217815, 14.5909028022906)"
67,149,NA,9,izquierda,"c(-90.1257516386737, 14.5912395430585)"
69,149,NA,10,izquierda,"c(-90.126088193168, 14.591151217661)"
76,149,NA,11,derecha,"c(-90.1263848174681, 14.5913609904222)"
77,149,NA,12,derecha,"c(-90.1263734088411, 14.5914603563972)"
9,149,NA,13,derecha,"c(-90.123846397977, 14.5867073003513)"
13,149,NA,14,derecha,"c(-90.1260197414064, 14.5871986198435)"
15,149,NA,15,izquierda,"c(-90.1254379014332, 14.5861662955973)"
30,149,NA,16,derecha,"c(-90.1254835359409, 14.5886725717411)"
60,149,NA,17,derecha,"c(-90.1262878441392, 14.590808956411)"
77,149,NA,18,derecha,"c(-90.1263734088411, 14.5914603563972)"
83,149,NA,19,izquierda,"c(-90.1259741068987, 14.5916535678868)"
86,149,NA,20,izquierda,"c(-90.1253808582986, 14.5913996327511)"
7,158,NA,1,derecha,"c(-90.0555447260645, 14.418946783595)"
59,158,NA,2,izquierda,"c(-90.0551283111817, 14.4208803965997)"
79,158,NA,3,izquierda,"c(-90.054403863372, 14.4227642719888)"
90,158,NA,4,izquierda,"c(-90.0559668452608, 14.4210903307161)"
135,158,NA,5,derecha,"c(-90.0550769723607, 14.4250624679014)"
144,158,NA,6,derecha,"c(-90.0534854689046, 14.4250790413435)"
180,158,NA,7,derecha,"c(-90.054181395147, 14.4233885438971)"
186,158,NA,8,derecha,"c(-90.0540844218182, 14.4233112005697)"
221,158,NA,9,izquierda,"c(-90.05268686502, 14.428018045577)"
1,158,NA,10,izquierda,"c(-90.0546890790451, 14.4185711082647)"
4,158,NA,11,izquierda,"c(-90.0545236539547, 14.4185048125524)"
15,158,NA,12,izquierda,"c(-90.0580261024208, 14.4186208300359)"
23,158,NA,13,derecha,"c(-90.0578949032112, 14.4190848993661)"
27,158,NA,14,derecha,"c(-90.0583455439747, 14.4188307662812)"
72,158,NA,15,derecha,"c(-90.0551340154952, 14.4220350317923)"
88,158,NA,16,derecha,"c(-90.0510326141155, 14.4226593057439)"
102,158,NA,17,izquierda,"c(-90.0594293635328, 14.422819517361)"
172,158,NA,18,izquierda,"c(-90.053417017143, 14.4236702943623)"
179,158,NA,19,derecha,"c(-90.0540958304451, 14.4235929511329)"
212,158,NA,20,izquierda,"c(-90.0572959502978, 14.4277860203371)"
1,163,NA,1,derecha,"c(-90.0510770376404, 14.440842416344)"
87,163,NA,2,izquierda,"c(-90.0536896132065, 14.4459687121804)"
99,163,NA,3,derecha,"c(-90.0531134775467, 14.4451732602252)"
106,163,NA,4,derecha,"c(-90.052069588183, 14.4445877173848)"
177,163,NA,5,derecha,"c(-90.0535127794892, 14.4471342651153)"
202,163,NA,6,izquierda,"c(-90.0539691245662, 14.448067807847)"
204,163,NA,7,derecha,"c(-90.0543684265086, 14.4474877965517)"
251,163,NA,8,derecha,"c(-90.0568726201189, 14.4485539113865)"
253,163,NA,9,izquierda,"c(-90.0565018397438, 14.4487141043655)"
326,163,NA,10,derecha,"c(-90.0528738963815, 14.4504375525647)"
337,163,NA,11,derecha,"c(-90.0540832108356, 14.4508076502754)"
31,163,NA,12,derecha,"c(-90.05297086971, 14.4433503387651)"
62,163,NA,13,derecha,"c(-90.0562337370109, 14.4464272005566)"
70,163,NA,14,izquierda,"c(-90.053769473595, 14.4458803287703)"
84,163,NA,15,izquierda,"c(-90.0542429316124, 14.4460847153529)"
95,163,NA,16,izquierda,"c(-90.0541630712239, 14.4466260626909)"
211,163,NA,17,izquierda,"c(-90.0533302414584, 14.4480512361167)"
256,163,NA,18,derecha,"c(-90.0565303613111, 14.4486091503578)"
264,163,NA,19,derecha,"c(-90.057317556569, 14.4491449676677)"
326,163,NA,20,izquierda,"c(-90.0528738963815, 14.4504375525647)"
1381,2,NA,1,derecha,"c(-89.9961155446704, 14.6404325132998)"
1384,2,NA,2,derecha,"c(-89.9959158936992, 14.6405263379863)"
1389,2,NA,3,derecha,"c(-89.9957618772357, 14.6405042615931)"
1429,2,NA,4,izquierda,"c(-89.9936740985083, 14.641823322188)"
1461,2,NA,5,derecha,"c(-89.9941418522123, 14.6426677375669)"
1467,2,NA,6,izquierda,"c(-89.9935885338064, 14.6423917851863)"
1470,2,NA,7,izquierda,"c(-89.9941361478988, 14.6428333088285)"
1493,2,NA,8,derecha,"c(-89.9926644350254, 14.6426677375669)"
2151,2,NA,9,derecha,"c(-89.9880781670013, 14.6456755959925)"
2172,2,NA,10,derecha,"c(-89.9919285785887, 14.6436722012995)"
2178,2,NA,11,derecha,"c(-89.9920940036791, 14.6430761464528)"
2182,2,NA,12,derecha,"c(-89.9925218271888, 14.6430927035537)"
2189,2,NA,13,derecha,"c(-89.9923564020984, 14.6433852121311)"
2214,2,NA,14,izquierda,"c(-89.9934002914621, 14.6437273914811)"
2219,2,NA,15,derecha,"c(-89.9937482545833, 14.6438377718027)"
2250,2,NA,16,derecha,"c(-89.9945297455278, 14.6431644509768)"
2262,2,NA,17,izquierda,"c(-89.9949347517836, 14.6444117485793)"
2264,2,NA,18,izquierda,"c(-89.9959101893857, 14.6431534129132)"
2270,2,NA,19,derecha,"c(-89.9965262552397, 14.6435452638291)"
2275,2,NA,20,derecha,"c(-89.9964406905378, 14.6444338245792)"
2,6,NA,1,izquierda,"c(-89.8745268275078, 14.6587313820227)"
4,6,NA,2,izquierda,"c(-89.8747721129867, 14.6591176864568)"
5,6,NA,3,derecha,"c(-89.8745553490751, 14.6591452796046)"
12,6,NA,4,izquierda,"c(-89.8738251969519, 14.6632179900947)"
15,6,NA,5,izquierda,"c(-89.8746066878963, 14.6637863975951)"
20,6,NA,6,izquierda,"c(-89.8742244988943, 14.665491611243)"
21,6,NA,7,izquierda,"c(-89.8745838706424, 14.6656185359997)"
36,6,NA,8,derecha,"c(-89.8749033121964, 14.6667774108094)"
40,6,NA,9,derecha,"c(-89.8746009835828, 14.666595302317)"
41,6,NA,10,izquierda,"c(-89.8745211231944, 14.6664959703482)"
49,6,NA,11,derecha,"c(-89.8672538278428, 14.665237761509)"
51,6,NA,12,derecha,"c(-89.8668659345273, 14.665237761509)"
55,6,NA,13,derecha,"c(-89.8671169243197, 14.6657840899195)"
57,6,NA,14,derecha,"c(-89.867516226262, 14.665971717544)"
69,6,NA,15,derecha,"c(-89.8673051666639, 14.6669374454201)"
72,6,NA,16,derecha,"c(-89.8679269368314, 14.6669264085542)"
75,6,NA,17,derecha,"c(-89.867601790964, 14.6671747379034)"
76,6,NA,18,izquierda,"c(-89.8669686121696, 14.667456177492)"
78,6,NA,19,izquierda,"c(-89.8670142466773, 14.6669650375826)"
86,6,NA,20,derecha,"c(-89.8772753183077, 14.6625948002093)"
3,9,NA,1,izquierda,"c(-89.9897374761323, 14.6569801986479)"
7,9,NA,2,derecha,"c(-89.9896519114304, 14.6588565430893)"
